time,Outer Temperature,Outer Humidity,Outer Dew point,Inner Temperature,Inner Humidity,Inner Dew point
2024-06-10 11:03:07,24.22,45.46,11.690873900133766,27.7,37.15,11.753698856962405
2024-06-10 11:03:08,24.25,45.52,11.738112561090038,27.72,37.35,11.852821567212336
2024-06-10 11:03:10,24.15,45.49,11.63727107578235,27.72,37.33,11.844697936397058
2024-06-10 11:03:11,24.19,45.44,11.656956418534108,27.73,37.28,11.833232368997933
2024-06-10 11:03:12,24.18,45.33,11.611175651405127,27.76,37.24,11.843530512114233
2024-06-10 11:03:13,24.29,45.44,11.747794816258402,27.67,37.28,11.78007000752454
2024-06-10 11:03:15,24.24,45.29,11.652294108906078,27.79,37.33,11.90672910638516
2024-06-10 11:03:16,24.22,45.46,11.690873900133766,27.67,37.21,11.751583315829071
2024-06-10 11:03:17,24.14,45.4,11.598204620548813,27.8,37.07,11.809573979562117
2024-06-10 11:03:18,24.16,45.4,11.616370971739151,27.79,37.2,11.853806099432752
2024-06-10 11:03:20,24.22,45.45,11.687541409427814,27.74,37.09,11.764623885540443
2024-06-10 11:03:21,24.19,45.51,11.680269828307296,27.64,37.16,11.704635251328023
2024-06-10 11:03:22,24.21,45.47,11.685121112487224,27.74,37.2,11.809516704483077
2024-06-10 11:03:23,24.26,45.38,11.700525518711444,27.82,37.04,11.815005504771387
2024-06-10 11:03:25,24.1,45.44,11.575199134376922,27.72,37.27,11.820304016681508
2024-06-10 11:03:26,24.16,45.4,11.616370971739151,27.72,37.23,11.804022175224977
2024-06-10 11:03:27,24.15,45.4,11.60728781210236,27.67,37.14,11.723049370483412
2024-06-10 11:03:28,24.14,45.51,11.634841119097302,27.73,37.21,11.804733790537894
2024-06-10 11:03:29,24.19,45.44,11.656956418534108,27.74,37.03,11.7400874294874
2024-06-10 11:03:31,24.15,45.41,11.610621870754711,27.62,37.32,11.752018288517396
2024-06-10 11:03:32,24.18,45.54,11.681165228863163,27.72,37.1,11.750999539895789
2024-06-10 11:03:33,24.21,45.5,11.695112062309521,27.62,37.19,11.699145301112054
2024-06-10 11:03:34,24.24,45.52,11.729026836451304,27.69,37.08,11.71626356991913
2024-06-10 11:03:36,24.18,45.45,11.651204589312325,27.76,37.18,11.819077820334067
2024-06-10 11:03:37,24.22,45.47,11.694205745027796,27.7,37.21,11.778158726359136
2024-06-10 11:03:38,24.24,45.62,11.762282391865813,27.76,37.26,11.851673696525294
2024-06-10 11:03:39,24.24,45.35,11.67234438368837,27.7,37.17,11.761856011484989
2024-06-10 11:03:41,24.25,45.55,11.748096692715096,27.77,37.18,11.827935132487797
2024-06-10 11:03:42,24.22,45.55,11.72083728710898,27.72,37.18,11.783648186638368
2024-06-10 11:03:43,24.24,45.56,11.742336775155913,27.74,37.19,11.805440375381368
2024-06-10 11:03:44,24.12,45.56,11.633294207081285,27.7,37.3,11.814783456500734
2024-06-10 11:03:46,24.12,45.57,11.636617236786806,27.64,37.25,11.741288047003012
2024-06-10 11:03:47,24.15,45.44,11.620620166659837,27.77,37.28,11.868673174861131
2024-06-10 11:03:48,24.18,45.49,11.664526876582775,27.67,37.18,11.739360278068155
2024-06-10 11:03:49,24.22,45.57,11.727488733250237,27.6,37.03,11.616139550225697
2024-06-10 11:03:51,24.15,45.46,11.62728246657466,27.69,37.17,11.752998713222773
2024-06-10 11:03:52,24.19,45.44,11.656956418534108,27.8,37.28,11.895253375832388
2024-06-10 11:03:53,24.18,45.58,11.694464326095567,27.7,37.28,11.806651361165649
2024-06-10 11:03:54,24.18,45.54,11.681165228863163,27.66,37.23,11.75086807162619
2024-06-10 11:03:56,24.16,45.5,11.649684858662383,27.72,37.24,11.808094079906576
2024-06-10 11:03:57,24.15,45.5,11.640599322413165,27.76,37.24,11.843530512114233
2024-06-10 11:03:58,24.25,45.44,11.711459839783922,27.64,37.35,11.781921980176527
2024-06-10 11:03:59,24.21,45.54,11.708424304228965,27.67,37.14,11.723049370483412
2024-06-10 11:04:01,24.19,45.52,11.68359773590119,27.67,37.26,11.771935764773257
2024-06-10 11:04:02,24.18,45.66,11.72103170079575,27.74,37.12,11.776879002410396
2024-06-10 11:04:03,24.19,45.48,11.670282238393543,27.74,37.23,11.821739902029238
2024-06-10 11:04:04,24.14,45.54,11.644819349711476,27.76,37.16,11.810919197162038
2024-06-10 11:04:06,24.19,45.38,11.636948296759154,27.74,37.2,11.809516704483077
2024-06-10 11:04:07,24.15,45.46,11.62728246657466,27.73,37.25,11.821024470160983
2024-06-10 11:04:08,24.21,45.44,11.675124353157582,27.74,37.28,11.842092628096792
2024-06-10 11:04:09,24.22,45.61,11.74078391322079,27.74,37.24,11.825812372923679
2024-06-10 11:04:11,24.22,45.46,11.690873900133766,27.69,37.24,11.781516351951764
2024-06-10 11:04:12,24.15,45.49,11.63727107578235,27.67,37.17,11.735284001143468
2024-06-10 11:04:13,24.25,45.55,11.748096692715096,27.72,37.33,11.844697936397058
2024-06-10 11:04:14,24.18,45.66,11.72103170079575,27.67,37.38,11.820683642579128
2024-06-10 11:04:16,24.12,45.49,11.6100149883503,27.74,37.12,11.776879002410396
2024-06-10 11:04:17,24.26,45.51,11.743868684261423,27.72,37.23,11.804022175224977
2024-06-10 11:04:18,24.1,45.48,11.588516400255363,27.72,37.07,11.738740304579359
2024-06-10 11:04:19,24.14,45.51,11.634841119097302,27.64,37.16,11.704635251328023
2024-06-10 11:04:21,24.15,45.44,11.620620166659837,27.73,37.06,11.743506010651489
2024-06-10 11:04:22,24.19,45.49,11.673612079821106,27.77,37.2,11.836090456924154
2024-06-10 11:04:23,24.14,45.51,11.634841119097302,27.77,37.12,11.803445948514177
2024-06-10 11:04:24,24.08,45.53,11.586975567068365,27.72,37.06,11.734651950336628
2024-06-10 11:04:26,24.11,45.62,11.644134244476179,27.66,37.26,11.763075802376077
2024-06-10 11:04:27,24.14,45.54,11.644819349711476,27.67,37.26,11.771935764773257
2024-06-10 11:04:28,24.16,45.55,11.666317617265992,27.7,37.27,11.802583872049745
2024-06-10 11:04:29,24.22,45.64,11.75074855830846,27.77,37.25,11.856461880787375
2024-06-10 11:04:31,24.11,45.51,11.607583511578456,27.76,37.3,11.867948519523438
2024-06-10 11:04:32,24.16,45.46,11.63636705269441,27.73,37.17,11.788427675164929
2024-06-10 11:04:33,24.14,45.57,11.654791790373165,27.69,37.32,11.814050167743103
2024-06-10 11:04:34,24.19,45.56,11.696902928185636,27.69,37.22,11.773373277592698
2024-06-10 11:04:36,24.15,45.71,11.710344046781104,27.73,37.27,11.829164031350297
2024-06-10 11:04:37,24.12,45.46,11.600028516989454,27.73,37.33,11.853559647246728
2024-06-10 11:04:38,24.12,45.6,11.646582472312643,27.73,37.34,11.857622224301801
2024-06-10 11:04:39,24.11,45.69,11.667353391958944,27.69,37.27,11.793723742086277
2024-06-10 11:04:41,24.14,45.62,11.671399677793769,27.69,37.27,11.793723742086277
2024-06-10 11:04:42,24.14,45.69,11.694623797261707,27.63,37.36,11.777117196740186
2024-06-10 11:04:43,24.08,45.63,11.62018675697423,27.8,37.4,11.944022312572603
2024-06-10 11:04:44,24.1,45.75,11.678138968171096,27.62,37.18,11.695071406745758
2024-06-10 11:04:46,24.21,45.98,11.854183027498195,27.67,37.32,11.796326965627564
2024-06-10 11:04:47,24.1,45.8,11.694684577579213,27.67,37.09,11.702638956906032
2024-06-10 11:04:48,24.08,45.84,11.689722030458631,27.72,37.4,11.873113890305907
2024-06-10 11:04:49,24.1,45.82,11.701298365566105,27.72,37.3,11.832505297796283
2024-06-10 11:04:51,24.16,45.92,11.788902503438713,27.67,37.31,11.792264165810607
2024-06-10 11:04:52,24.08,45.91,11.712838090696179,27.69,37.41,11.850577349990512
2024-06-10 11:04:53,24.08,45.81,11.679805625570713,27.62,37.27,11.7317017562303
2024-06-10 11:04:54,24.16,45.84,11.762471592836029,27.63,37.43,11.805495296202357
2024-06-10 11:04:56,24.08,45.82,11.683111729446942,27.64,37.36,11.785980100034699
2024-06-10 11:04:57,24.12,45.84,11.726097064301001,27.67,37.31,11.792264165810607
2024-06-10 11:04:58,24.18,45.67,11.724349738461735,27.64,37.29,11.757553139598695
2024-06-10 11:04:59,24.16,45.67,11.706170700274681,27.66,37.26,11.763075802376077
2024-06-10 11:05:01,24.15,45.75,11.723596738214217,27.77,37.18,11.827935132487797
2024-06-10 11:05:02,24.18,45.78,11.760805968074866,27.57,37.28,11.691462997792609
2024-06-10 11:05:03,24.21,45.71,11.76488665077967,27.66,37.33,11.791526865316749
2024-06-10 11:05:04,24.12,45.75,11.696322171138723,27.6,37.34,11.742413318011828
2024-06-10 11:05:06,24.12,45.89,11.742616423414002,27.73,37.24,11.81695324564357
2024-06-10 11:05:07,24.14,46.0,11.797098134742349,27.73,37.37,11.869804207011763
2024-06-10 11:05:08,24.11,45.93,11.746724663936071,27.67,37.58,11.9016245659461
2024-06-10 11:05:09,24.04,46.08,11.732449934812134,27.6,37.5,11.80722590198911
2024-06-10 11:05:11,24.11,46.04,11.782981107987187,27.69,37.5,11.887027195955456
2024-06-10 11:05:12,24.07,46.08,11.759748586565891,27.77,37.53,11.97009865581977
2024-06-10 11:05:13,24.08,46.04,11.755685653357343,27.7,37.51,11.899939320899518
2024-06-10 11:05:15,24.14,46.02,11.803688468666474,27.6,37.43,11.778900433924
2024-06-10 11:05:16,24.08,45.98,11.735923118438276,27.66,37.4,11.819930964192242
2024-06-10 11:05:17,24.05,46.07,11.738260560381246,27.69,37.39,11.842466894141456
2024-06-10 11:05:18,24.12,45.99,11.77560762374401,27.64,37.37,11.790037263021555
2024-06-10 11:05:20,24.04,45.88,11.666555700218598,27.67,37.47,11.857154154386336
2024-06-10 11:05:21,24.14,45.98,11.790505275902078,27.62,37.5,11.824959790521008
2024-06-10 11:05:22,23.98,46.01,11.654827386082808,27.7,37.47,11.88375159324254
2024-06-10 11:05:23,24.14,46.08,11.823444341653756,27.63,37.36,11.777117196740186
2024-06-10 11:05:25,24.02,46.05,11.704384034651572,27.63,37.45,11.813594736505356
2024-06-10 11:05:26,24.1,46.05,11.777174674227272,27.57,37.45,11.76040128662811
2024-06-10 11:05:27,24.11,45.98,11.763214338810045,27.66,37.46,11.844240080882336
2024-06-10 11:05:28,24.02,45.98,11.681339827837904,27.69,37.41,11.850577349990512
2024-06-10 11:05:30,24.07,46.06,11.753169104859282,27.55,37.47,11.750760955432423
2024-06-10 11:05:31,24.15,45.94,11.786407949311625,27.64,37.63,11.895189215633629
2024-06-10 11:05:32,24.08,46.06,11.762268122703663,27.6,37.46,11.791045630107815
2024-06-10 11:05:33,24.25,46.02,11.903763170054361,27.6,37.44,11.78294978525712
2024-06-10 11:05:35,24.14,46.0,11.797098134742349,27.63,37.43,11.805495296202357
2024-06-10 11:05:36,24.14,45.87,11.754199326542652,27.69,37.52,11.895116694547356
2024-06-10 11:05:37,24.08,46.0,11.742513153295024,27.55,37.54,11.779049961067354
2024-06-10 11:05:38,24.11,45.96,11.756620365543284,27.56,37.47,11.759627265789494
2024-06-10 11:05:40,24.12,45.92,11.752520428719913,27.62,37.59,11.86131493984721
2024-06-10 11:05:41,24.08,45.88,11.702935012848982,27.69,37.39,11.842466894141456
2024-06-10 11:05:42,24.05,45.87,11.672348989254345,27.57,37.42,11.74825576779749
2024-06-10 11:05:44,24.19,45.87,11.799670631589505,27.7,37.52,11.903983876553001
2024-06-10 11:05:45,24.04,45.85,11.656649745336601,27.64,37.56,11.866942195233143
2024-06-10 11:05:46,24.1,45.8,11.694684577579213,27.72,37.41,11.877169486688668
2024-06-10 11:05:47,24.15,45.84,11.753378008074257,27.64,37.43,11.814360173702797
2024-06-10 11:05:49,24.08,45.8,11.676498885764735,27.6,37.44,11.78294978525712
2024-06-10 11:05:50,24.11,45.8,11.703777376067677,27.76,37.56,11.973361647129002
2024-06-10 11:05:51,24.16,45.79,11.745931629030647,27.56,37.48,11.763671682993023
2024-06-10 11:05:52,24.11,45.85,11.72030825866831,27.7,37.5,11.89589381522054
2024-06-10 11:05:54,24.15,46.05,11.82266780272258,27.63,37.41,11.797392042171715
2024-06-10 11:05:55,24.15,46.07,11.82925230354701,27.6,37.44,11.78294978525712
2024-06-10 11:05:56,24.08,46.27,11.831232438217318,27.69,37.7,11.967751731766901
2024-06-10 11:05:57,24.11,46.2,11.835581751775655,27.72,37.57,11.941929482200848
2024-06-10 11:05:59,24.12,46.32,11.884032006056568,27.69,37.55,11.907243822486437
2024-06-10 11:06:00,24.18,46.17,11.889441036649615,27.7,37.71,11.980650562998614
2024-06-10 11:06:01,24.21,46.39,11.988901826971167,27.69,37.58,11.919362417944408
2024-06-10 11:06:02,24.0,46.33,11.778042220225416,27.63,37.6,11.874219363495106
2024-06-10 11:06:04,24.12,46.21,11.847966373622068,27.57,37.61,11.825032983259453
2024-06-10 11:06:05,24.07,46.3,11.831957316564676,27.56,37.61,11.816162776124306
2024-06-10 11:06:06,24.15,46.24,11.885119110567345,27.59,37.58,11.830671631276958
2024-06-10 11:06:07,24.08,46.2,11.808275027913052,27.62,37.71,11.909669371149851
2024-06-10 11:06:09,24.02,46.29,11.783159137157739,27.62,37.54,11.84112711407847
2024-06-10 11:06:10,24.07,46.32,11.838506748113458,27.69,37.72,11.975803422185434
2024-06-10 11:06:11,24.14,46.57,11.983941120336514,27.56,37.65,11.83228172354226
2024-06-10 11:06:13,24.05,48.4,12.488110318282986,27.73,37.71,12.007267882036581
2024-06-10 11:06:14,24.16,49.78,13.018383561960743,27.63,37.59,11.870184356612963
2024-06-10 11:06:15,24.14,49.56,12.932248885379577,27.57,37.63,11.833094905041142
2024-06-10 11:06:16,24.14,49.08,12.783467711532795,27.69,37.58,11.919362417944408
2024-06-10 11:06:18,24.08,48.57,12.569037431609717,27.56,37.65,11.83228172354226
2024-06-10 11:06:19,24.1,48.18,12.46442448882373,27.64,37.67,11.911309592948793
2024-06-10 11:06:20,24.04,47.8,12.288968470287514,27.59,37.67,11.866951095738004
2024-06-10 11:06:21,24.15,47.59,12.322454690073675,27.6,37.77,11.916046736322345
2024-06-10 11:06:23,24.15,47.5,12.293641191896205,27.63,37.62,11.88228654181891
2024-06-10 11:06:24,24.14,47.51,12.287712615252751,27.69,37.72,11.975803422185434
2024-06-10 11:06:25,24.05,47.41,12.173476636637474,27.59,37.71,11.883050796282387
2024-06-10 11:06:26,24.05,47.36,12.157433023441056,27.69,37.88,12.040081901159855
2024-06-10 11:06:28,24.1,47.04,12.100008411059214,27.57,37.92,11.949570566601837
2024-06-10 11:06:29,24.04,47.0,12.032355528057996,27.55,37.92,11.931812773120438
2024-06-10 11:06:30,24.12,46.98,12.098854636472133,27.59,37.97,11.987333644491178
2024-06-10 11:06:31,24.01,46.79,11.937008648362161,27.59,37.97,11.987333644491178
2024-06-10 11:06:33,24.22,46.69,12.09592692781207,27.59,37.91,11.963324333083285
2024-06-10 11:06:34,24.11,46.62,11.972898712268387,27.56,37.86,11.916659489949744
2024-06-10 11:06:35,24.05,46.46,11.866066273911208,27.56,38.03,11.984663849128976
2024-06-10 11:06:36,24.16,46.48,11.972791242730926,27.6,37.8,11.928095600962669
2024-06-10 11:06:38,24.19,46.42,11.980503942171566,27.59,37.75,11.899135459076666
2024-06-10 11:06:39,24.11,46.29,11.865099126846035,27.63,37.74,11.930610418321141
2024-06-10 11:06:40,24.12,46.25,11.861089891508348,27.6,37.84,11.944147656235627
2024-06-10 11:06:42,24.08,46.16,11.795142745168082,27.6,37.9,11.968197733560936
2024-06-10 11:06:43,24.18,46.04,11.846669402080721,27.57,37.85,11.921527786904058
2024-06-10 11:06:44,24.14,46.12,11.836602336990646,27.56,37.78,11.884564311979366
2024-06-10 11:06:45,24.21,46.06,11.880552495944334,27.5,37.73,11.811232186615733
2024-06-10 11:06:47,24.15,46.07,11.82925230354701,27.49,37.7,11.790299025888258
2024-06-10 11:06:48,24.18,45.97,11.82359443273108,27.6,37.77,11.916046736322345
2024-06-10 11:06:49,24.22,45.98,11.863279723257905,27.67,37.69,11.945980450411017
2024-06-10 11:06:50,24.11,45.91,11.740124365359057,27.62,37.71,11.909669371149851
2024-06-10 11:06:52,24.15,46.1,11.839124334475816,27.57,37.67,11.849207430215952
2024-06-10 11:06:53,24.14,45.99,11.793802021066362,27.59,37.75,11.899135459076666
2024-06-10 11:06:54,24.11,45.96,11.756620365543284,27.6,37.74,11.903989437767178
2024-06-10 11:06:56,24.08,46.17,11.798426755490903,27.55,37.61,11.807292530845732
2024-06-10 11:06:57,24.15,46.03,11.816080781990559,27.57,37.7,11.861281935401175
2024-06-10 11:06:58,24.15,46.11,11.842413753734924,27.67,37.68,11.941952813182311
2024-06-10 11:06:59,24.16,46.02,11.821884151914663,27.66,37.69,11.937108380816834
2024-06-10 11:07:01,24.14,46.11,11.833313780995049,27.63,37.7,11.914517518749006
2024-06-10 11:07:02,24.16,46.02,11.821884151914663,27.62,37.77,11.933795773504663
2024-06-10 11:07:03,24.16,45.98,11.808699076587981,27.66,37.66,11.92502348436907
2024-06-10 11:07:05,24.16,46.03,11.825178843111443,27.66,37.6,11.900828227254797
2024-06-10 11:07:06,24.11,45.9,11.736823266037693,27.57,37.72,11.869326903699335
2024-06-10 11:07:09,24.16,46.03,11.825178843111443,27.64,37.53,11.854822129821907
2024-06-10 11:07:13,24.14,46.12,11.836602336990646,27.53,37.73,11.837853468620658
2024-06-10 11:07:15,24.08,46.34,11.854159270554634,27.62,37.75,11.925757393284629
2024-06-10 11:07:18,24.15,46.24,11.885119110567345,27.55,37.7,11.843536436424994
2024-06-10 11:07:21,24.1,46.29,11.855994808512524,27.52,37.8,11.857091222263282
2024-06-10 11:07:23,24.08,46.16,11.795142745168082,27.62,37.8,11.945846315832158
2024-06-10 11:07:21,24.25,46.2,11.96300940412238,27.56,37.79,11.888579481681116
2024-06-10 11:07:24,24.11,46.0,11.769805785590263,27.59,37.71,11.883050796282387
2024-06-10 11:07:26,24.14,46.08,11.823444341653756,27.63,37.71,11.918542153325836
2024-06-10 11:07:28,24.14,46.04,11.810276279746931,27.69,37.75,11.987873909002682
2024-06-10 11:07:29,24.07,46.1,11.766325552803519,27.57,37.72,11.869326903699335
2024-06-10 11:07:31,24.15,46.05,11.82266780272258,27.69,37.79,12.003954753386854
2024-06-10 11:07:33,24.21,45.98,11.854183027498195,27.69,37.69,11.963724475382756
2024-06-10 11:07:35,24.12,45.99,11.77560762374401,27.67,37.65,11.929864249035887
2024-06-10 11:07:37,24.12,46.02,11.785492659639537,27.73,37.79,12.03945354542657
2024-06-10 11:07:38,24.18,45.91,11.803791236076504,27.69,37.72,11.975803422185434
